COD_CIR,Origen,Destino,Nom_orig,Nom_Des,Km,Res,Reac,tension,proy,q3,max
LNX-113,SICN206,SICN210,Piura 500 kV,Nueva PariÇñas 500 kV,105.21,0.021705,0.347115,500,0,0.061800178,0.143171828
LNX-112,SICN105,SICN206,La NiÇña 500 kV,Piura 500 kV,79.13,0.021,0.3289,500,0,0.052462086,0.15928811
LNX-044,SICN100,SICN105,Trujillo 500 kV,La NiÇña 500 kV,327,0.0239,0.3172,500,0,0.125225339,0.473622399
LNX-041,SICN-99,SICN100,Chimbote 500 kV,Trujillo 500 kV,146.66,0.021,0.312528,500,0,0.3008537,0.699445908
LNX-040,SICN-82,SICN-99,Carabayllo 500 kV,Chimbote 500 kV,384.66,0.021,0.31282,500,0,0.458148142,1.015879213
LNX-079,SICN201,SICN-82,Carapongo 500 kV,Carabayllo 500 kV,27.33,0.030626,0.320002,500,0,0.243857102,0.449696034
LNX-077,SICN-81,SICN201,Chilca 500 kV,Carapongo 500 kV,63.3,0.037835,0.342961,500,0,0.429944363,0.757196791
LNX-107,SICN202,SICN-82,Planicie 500 kV,Carabayllo 500 kV,39.4,0.02783,0.35164,500,0,0.136925537,0.309079622
LNX-106,SICN-81,SICN202,Chilca 500 kV,Planicie 500 kV,49.6,0.027841,0.351642,500,0,0.54658982,0.823585489
LNX-178,SICN-81,SICN-82,Chilca 500 kV,Carabayllo 500 kV,89.8,0.018283,0.33085,500,0,0.310908947,0.509481433
LNX-206,SICN281,SICN-81,Fenix 500 kV,Chilca 500 kV,7.98,0.03,0.318,500,0,0.901525016,0.901525017
LNX-207,SICN381,SICN-81,Olleros 500 kV,Chilca 500 kV,1.948,0.035,0.313,500,0,0.507855883,0.507855883
LNX-42A,SICN-81,SICN207,Chilca 500 kV,Independencia 500 kV,173,0.0257,0.3515,500,0,0.259683026,0.98700608
LNX-42B,SICN207,SICN101,Independencia 500 kV,Poroma 500 kV,193.2,0.0257,0.3515,500,0,0.474707041,1.629617437
LNX-269,SICN-81,SICN207,Chilca 500 kV,Independencia 500 kV,174,0.0209,0.125287,500,0,0.425620733,1.617703927
LNX-270,SICN207,SICN301,Independencia 500 kV,Colectora 500 kV,110,0.0209,0.135636,500,0,0.415024847,1.876484697
LNXb42B,SICN301,SICN101,Colectora 500 kV,Poroma 500 kV,93.7,0.0214,0.3319,500,0,0.453866176,1.276509951
LNX-43A,SICN101,SIS-56,Poroma 500 kV,OcoÇña 500 kV,271,0.0256,0.126712,500,0,0.999999999,2.501406449
LNX-43C,SIS-56,SIS-51,OcoÇña 500 kV,San Jose 500 kV,138,0.0262,0.126915,500,0,0.974672943,2.056590938
LNX-252,SIS-51,SIS153,San Jose 500 kV,Hub San Jose 500 kV,4.38,0.018945,0.32799,500,0,0.130039684,0.362723342
LNX-253,SIS-51,SIS153,San Jose 500 kV,Hub San Jose 500 kV,4.38,0.018945,0.32799,500,0,0.130039684,0.362723342
LNX-43B,SIS-51,SIS-41,San Jose 500 kV,Montalvo 500 kV,117,0.0262,0.126915,500,0,0.502946181,0.922978912
